NPSN,NAMA SEKOLAH,ALAMAT,DAFTAR KOMPETENSI,DAFTAR KOMPETENSI2,DAFTAR KOMPETENSI3,DAFTAR KOMPETENSI4,DAFTAR KOMPETENSI5,DAFTAR KOMPETENSI6,DAFTAR KOMPETENSI7,DAFTAR KOMPETENSI8,DAFTAR KOMPETENSI9,DAFTAR KOMPETENSI10,Nilai Rerata,Domisili
20100223,SMA NEGERI 27,JL. MARDANI RAYA,KURIKULUM MERDEKA,,,,,,,,,,60.75,Jakarta Pusat
20107319,SMA NEGERI 28,"JL RAYA RAGUNAN, JAKARTA SELATAN",KURIKULUM MERDEKA,,,,,,,,,,76.98,Jakarta Selatan
20102217,SMA NEGERI 29,JL. KRAMAT NO.6,KURIKULUM MERDEKA,,,,,,,,,,61.31,Jakarta Selatan
20100224,SMA NEGERI 30,JL. JEND. A. YANI,KURIKULUM MERDEKA,,,,,,,,,,61.7,Jakarta Pusat
20103281,SMA NEGERI 31,JL. KAYU MANIS TIMUR,KURIKULUM MERDEKA,,,,,,,,,,63.05,Jakarta Timur
20102215,SMA NEGERI 32,JL. PANJANG KOMP. SETNEG BARU,KURIKULUM MERDEKA,,,,,,,,,,57.5,Jakarta Selatan
2010160,SMA NEGERI 33,JL. KAMAL RAYA NO. 54,KURIKULUM MERDEKA,,,,,,,,,,69.95,Jakarta Barat
20102214,SMA NEGERI 34,JL. MARGASATWA RAYA NO. 1,KURIKULUM MERDEKA,,,,,,,,,,74,Jakarta Selatan
20100212,SMA NEGERI 35,JL. MUTIARA,KURIKULUM MERDEKA,,,,,,,,,,57.02,Jakarta Pusat
20103280,SMA NEGERI 36,JL. PERHUBUNGAN RAYA,KURIKULUM MERDEKA,,,,,,,,,,59.85,Jakarta Timur
20102213,SMA NEGERI 37,JL. H. NO. 40,KURIKULUM MERDEKA,,,,,,,,,,58.12,Jakarta Selatan
20102212,SMA NEGERI 38,JL. RAYA LENTENG AGUNG,KURIKULUM MERDEKA,,,,,,,,,,65.88,Jakarta Selatan
20103296,SMA NEGERI 39,JL. RA. FADILLAH,KURIKULUM MERDEKA,,,,,,,,,,70.42,Jakarta Timur
20100810,SMA NEGERI 40,JL. BUDI MULIA RAYA,KURIKULUM MERDEKA,,,,,,,,,,63.09,Jakarta Utara
20100811,SMA NEGERI 41,JL. LAKS. R. E. MARTADINATA,KURIKULUM MERDEKA,,,,,,,,,,63.73,Jakarta Utara
20103297,SMA NEGERI 42,JL. RAJAWALI,KURIKULUM MERDEKA,,,,,,,,,,57.47,Jakarta Timur
20102211,SMA NEGERI 43,JL. MINANGKABAU DALAM,KURIKULUM MERDEKA,,,,,,,,,,57.64,Jakarta Selatan
20103298,SMA NEGERI 44,JL. DELIMA IV PERUM KLENDER,KURIKULUM MERDEKA,,,,,,,,,,65.15,Jakarta Timur
20100812,SMA NEGERI 45,JL. PERINTIS KEMERDEKAAN,KURIKULUM MERDEKA,,,,,,,,,,57.8,Jakarta Utara
20102210,SMA NEGERI 46,JL. MESJID DARUSSALAM,KURIKULUM MERDEKA,,,,,,,,,,57.61,Jakarta Selatan
20102193,SMA NEGERI 47,JL. DELMAN UTAMA I,KURIKULUM MERDEKA,,,,,,,,,,70.57,Jakarta Selatan
20103314,SMA NEGERI 48,JL. PINANGRANTI II,KURIKULUM MERDEKA,,,,,,,,,,72.39,Jakarta Timur
20102592,SMA NEGERI 49,JL. PEPAYA 9,KURIKULUM MERDEKA,,,,,,,,,,64.53,Jakarta Selatan
20103313,SMA NEGERI 50,JL. PLN,KURIKULUM MERDEKA,,,,,,,,,,60.05,Jakarta Timur
20103312,SMA NEGERI 51,JL. BATU AMPAR III,KURIKULUM MERDEKA,,,,,,,,,,58.5,Jakarta Timur
20100797,SMA NEGERI 52,JL. RAYA TUGU SEMPER,KURIKULUM MERDEKA,,,,,,,,,,65.61,Jakarta Utara
20103311,SMA NEGERI 53,JL. CIPINANG JAYA 2B,KURIKULUM MERDEKA,,,,,,,,,,57.61,Jakarta Timur
