NPSN;NAMA SEKOLAH;ALAMAT;DAFTAR KOMPETENSI;DAFTAR KOMPETENSI2;DAFTAR KOMPETENSI3;DAFTAR KOMPETENSI4;DAFTAR KOMPETENSI5;DAFTAR KOMPETENSI6;DAFTAR KOMPETENSI7;DAFTAR KOMPETENSI8;DAFTAR KOMPETENSI9;DAFTAR KOMPETENSI10;Domisili;Rerata prestasi akademik;Rerata prestasi nonakademik;rerata tahap kedua;rerata afirmasi;rerata zonasi;akreditasi;daya tampung prestasi akademik;daya tampung prestasi nonakademik;daya tampung tahap kedua;daya tampung afirmasi;daya tampung zonasi
20103785;SMK NEGERI 46;JL. B7 CIPINANG BESAR UTARA;Rekayasa Perangkat Lunak; Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;Jakarta Timur;60.3;62.19;50.46;50.14;;A;152 murid;21 murid;99 murid;8 murid;
20102599;SMK NEGERI 47;JL. CONDET PEJATEN;Desain Komunikasi Visual; Produksi dan Siaran Program Televisi; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;Jakarta Selatan;54;70.68;50.24;50.06;;A;133 murid;18 murid;87 murid;9 murid;
20103784;SMK NEGERI 48;JL. RAYA PERUMNAS KLENDER. JAKARTA TIMUR;Desain Komunikasi Visual; Produksi dan Siaran Program Televisi; Manajemen Perkantoran; Akuntansi; Bisnis Digital; Bisnis Retail;;;;;Jakarta Timur;62.51;63.31;52.36;52.29;;A;152 murid;21 murid;91 murid;6 murid;
20107437;SMK NEGERI 49;JL. SARANG BANGO NO. 1;Desain Komunikasi Visual; Bisnis Digital; Bisnis Retail; Manajemen Perkantoran; Manajemen Logistik; Layanan Perbankan Syariah; Akuntansi;;;;Jakarta Utara;60.48;68.13;51.30;53.21;;A;149 murid;17 murid;95 murid;21 murid;
20103782;SMK NEGERI 50;JL. CIPINANG MUARA NO. 1;Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital;;;;;;Jakarta Timur;54.65;67.20;50.97;50.63;;A;113 murid;15 murid;64 murid;7 murid;
20103781;SMK NEGERI 51;JL. SMEA 33 - SMIK;Produksi dan Siaran Program Televisi; Produksi Film; Desain Komunikasi Visual; Manajemen Perkantoran; Akuntansi; Bisnis Retail; Bisnis Digital;;;;Jakarta Timur;61.88;67.94;52.21;50.14;;A;171 murid;25 murid;110 murid;12 murid;
20103780;SMK NEGERI 52;JL. TARUNA JAYA;Desain Pemodelan dan Informasi Bangunan; Desain dan Teknik Furnitur; Teknik Pemesinan; Teknik Kendaraan Ringan;;;;;;;Jakarta Timur;57.1;63.35;50.38;48.69;;A;152 murid;20 murid;91 murid;27 murid;
20101498;SMK NEGERI 53;JL. FLAMBOYAN - CENGKARENG;Teknik Instalasi Tenaga Listrik; Teknik Pengelasan; Teknik Kendaraan Ringan; Teknik Sepeda Motor; Teknik Audio Video; Teknik Komputer dan Jaringan;;;;;Jakarta Barat;56.14;69.84;51.26;51.37;;A;208 murid;28 murid;134 murid;17 murid;
20100156;SMK NEGERI 54;JL. BENDUNGAN JAGO NO. 53;Teknik Pemanasan. Tata Udara. dan Pendinginan; Teknik Kendaraan Ringan; Teknik Komputer dan Jaringan;;;;;;;;Jakarta Pusat;56.5;57.53;49.39;49.21;;A;152 murid;20 murid;92 murid;13 murid;
20107438;SMK NEGERI 55;JL. PADEMANGAN TIMUR VII;Teknik Instalasi Tenaga Listrik; Teknik Kendaraan Ringan; Teknik Sepeda Motor; Desain Komunikasi Visual;;;;;;;Jakarta Utara;52.13;59.47;48.91;49.55;;A;132 murid;18 murid;88 murid;13 murid;
20107439;SMK NEGERI 56;JL. RAYA PLUIT TIMUR NO. 1. JAKARTA UTARA;Desain Pemodelan dan Informasi Bangunan; Teknik Instalasi Tenaga Listrik; Teknik Otomasi Industri; Teknik Pemesinan; Teknik Kendaraan Ringan; Teknik Ototronik; Teknik Mekatronika; Teknik Komputer dan Jaringan; Desain Komunikasi Visual;;Jakarta Utara;60.26;63.00;48.88;49.19;;A;244 murid;33 murid;159 murid;24 murid;
20102598;SMK NEGERI 57;JL. MARGASATWA NO. 38 B RAGUNAN. JAKARTA SELATAN;Usaha Layanan Wisata; Perhotelan; Kuliner;;;;;;;;Jakarta Selatan;65.05;65.14;52.56;51.25;;A;190 murid;25 murid;118 murid;9 murid;
20103779;SMK NEGERI 58;JL. SMIK BAMBU APUS / TMII CIPAYUNG JAKARTA TIMUR;Desain Pemodelan dan Informasi Bangunan; Teknik Fabrikasi Logam dan Manufaktur; Seni Lukis; Desain Komunikasi Visual; Kriya Kreatif Batik dan Tekstil; Kriya Kreatif Logam dan Perhiasan; Kriya Kreatif Kayu dan Rotan;;;;Jakarta Timur;56.77;62.13;52.32;48.61;;A;190 murid;27 murid;117 murid;20 murid;
20107358;SMK NEGERI 59;JL. PENINGGARAN BARAT I;Desain Komunikasi Visual; Bisnis Retail; Bisnis Digital;;;;;;;;Jakarta Selatan;55.58;53.50;49.43;48.88;;A;76 murid;11 murid;50 murid;7 murid;
20101497;SMK NEGERI 60;JL. DURI RAYA NO. 15;Usaha Layanan Wisata; Kuliner; Perhotelan;;;;;;;;Jakarta Barat;54.9;63.68;51.09;50.99;;A;114 murid;15 murid;69 murid;9 murid;
20109165;SMK NEGERI 61 (KEPULAUAN SERIBU);JL. PANTAI SELATAN NO.1 PULAU TIDUNG KEC. KEP. SERIBU SELATAN;Nautika Kapal Penangkapan Ikan; Nautika Kapal Niaga; Kuliner; Agribisnis Perikanan Payau dan Laut; Teknika Kapal Niaga;;;;;;Kepulauan Seribu;47.02;54.95;47.49;44.51;;A;95 murid;15 murid;64 murid;40 murid;
20109246;SMK NEGERI 62;JL. CAMAT GABUN 2;Desain Komunikasi Visual; Perhotelan; Manajemen Perkantoran; Akuntansi; Bisnis Retail;;;;;;Jakarta Selatan;58.54;61.71;51.72;51.25;;A;95 murid;14 murid;64 murid;6 murid;
20112443;SMK NEGERI 63;JL. ASELIH NO. 100 KECAMATAN JAGAKARSA. KOTA JAKARTA SELATAN;Agribisnis Tanaman Pangan dan Hortikultura; Agribisnis Perbenihan Tanaman; Agribisnis Lanskap dan Pertamanan; Agribisnis Pengolahan Hasil Pertanian;;;;;;;Jakarta Selatan;52.33;64.28;50.60;49.49;;A;152 murid;21 murid;105 murid;21 murid;
69992315;SMK NEGERI 64;JL. SMP 126 RT 10 RW 03 KEL. BATU AMPAR. KEC. KRAMATJATI. KOTA ADMINISTRASI JAKARTA TIMUR;Rekayasa Perangkat Lunak; Desain Komunikasi Visual;;;;;;;;;Jakarta Timur;56.4;54.84;50.86;48.82;;A;56 murid;7 murid;38 murid;11 murid;
69992316;SMK NEGERI 65;JL. IPN RT 09 RW 06 . KEL. CIPINANG BESAR SELATAN. KEC. JATINEGRA. KOTA ADMINISTRASI JAKARTA TIMUR;Rekayasa Perangkat Lunak; Desain Komunikasi Visual; Produksi Film;;;;;;;;Jakarta Timur;52.28;54.08;49.88;48.84;;A;114 murid;15 murid;73 murid;7 murid;
69992317;SMK NEGERI 66;JL. SPG 7 NO.33A RT 10 RW 09. KEL. LUBANG BUAYA. KEC. CIPAYUNG. KOTA ADMINISTRASI JAKARTA TIMUR;Usaha Layanan Wisata; Perhotelan; Kuliner;;;;;;;;Jakarta Timur;52.93;56.08;50.69;49.37;;A;114 murid;16 murid;67 murid;8 murid;
69992318;SMK NEGERI 67;JL. TELAGA RT 13 RW 09. KEL. PEKAYON. KEC. PASAR REBO. KAMPUNG DUKUH. KOTA ADM. JAKARTA TIMUR;Animasi; Desain Komunikasi Visual;;;;;;;;;Jakarta Timur;51.58;54.43;53.24;47.62;;B;76 murid;10 murid;50 murid;13 murid;
69992319;SMK NEGERI 68;JL. PENGANTIN ALI. RT 09 RW 06. KEL. CIRACAS. KEC. CIRACAS. KOTA ADM. JAKARTA TIMUR;Teknik Pengelasan; Teknik Fabrikasi Logam dan Manufaktur;;;;;;;;;Jakarta Timur;53.2;55.64;50.70;47.33;;A;76 murid;10 murid;48 murid;12 murid;
69992321;SMK NEGERI 69;JL. RADJIMAN WIDYODININGRAT RT 08 RW 09. KEL. JATINEGARA. KEC. CAKUNG KOTA ADM. JAKARTA TIMUR;Teknik Ototronik; Teknik Mekatronika; Sistem Informasi. Jaringan dan Aplikasi;;;;;;;;Jakarta Timur;58.52;69.30;50.75;50.19;;A;114 murid;15 murid;72 murid;7 murid;
